ticker,name,combined_score,technical_score,fundamental_score,sector,turnover20,gc_recent,ret20
MO,Altria,87.5,100,75.0,Consumer Staples,610061621,True,5.0
CYTK,Cytokinetics,86.45,75,97.9,Health Care,199661699,True,22.3
AMP,Ameriprise Financial,83.75,100,67.5,Financials,354063320,True,10.9
DUOL,Duolingo,80.1,85,75.2,Consumer Discretionary,189881069,True,17.1
VLO,Valero Energy,77.95,100,55.9,Energy,842604531,True,2.4
GEV,GE Vernova,77.75,90,65.5,Industrials,3360363533,True,16.1
PM,Philip Morris International,77.05,100,54.1,Consumer Staples,974828181,True,4.5
DINO,HF Sinclair,76.1,80,72.2,Energy,163548958,True,-1.1
EXPD,Expeditors International,75.8,100,51.6,Industrials,231868233,True,5.6
ESNT,Essent Group Ltd.,74.9,85,64.8,Financials,66963385,True,16.1
KO,Coca-Cola Company (The),74.85,100,49.7,Consumer Staples,1722728998,True,7.5
EGP,EastGroup Properties,74.7,100,49.4,Real Estate,79741384,True,8.1
GEN,Gen Digital,74.5,85,64.0,Information Technology,178536647,True,0.6
DTM,DT Midstream,73.85,100,47.7,Energy,105670704,True,2.9
AVB,AvalonBay Communities,73.8,100,47.6,Real Estate,232619584,True,6.9
EBAY,eBay Inc.,73.75,100,47.5,Consumer Discretionary,389361982,True,5.5
DDOG,Datadog,72.85,100,45.7,Information Technology,1177027801,True,4.0
AMH,American Homes 4 Rent,72.55,100,45.1,Real Estate,85557572,True,6.8
EG,Everest Group,72.4,75,69.8,Financials,172438370,True,17.4
ELV,Elevance Health,72.4,100,44.8,Health Care,720729429,True,7.2
